template_id,segment_id,segment_name,lifecycle_stage,goal,theme,variant,message_title_en,message_title_hi,message_body_en,message_body_hi,cta_text_en,cta_text_hi,tone,hook,feature_reference,weight
TPL_0012,0,Needs Attention,inactive,activation,unpredictability,2,✨ Something new!,✨ Kuch naya hai!,Your User Dashboard experience is waiting. Check it out now!,Tumhara User Dashboard experience wait kar raha. Abhi dekho!,Check It Out,Dekho,friendly,unpredictability,User Dashboard,1.0
TPL_0013,0,Needs Attention,inactive,activation,unpredictability,3,🎲 Discover today!,🎲 Aaj discover karo!,Make the most of Notifications today. You're doing great!,Aaj Notifications ka best use karo. Bahut accha chal raha!,Get Started,Shuru Karo,friendly,unpredictability,Notifications,1.0
TPL_0014,0,Needs Attention,inactive,activation,unpredictability,4,🔓 Unlock something!,🔓 Kuch unlock karo!,Don't miss what's new in Ai Tutor. Open and see!,Ai Tutor mein naya kya hai miss mat karo. Khol ke dekho!,Explore,Explore Karo,friendly,unpredictability,Ai Tutor,1.0
TPL_0015,0,Needs Attention,inactive,activation,unpredictability,5,🎉 Check this out!,🎉 Ye dekho!,Your generic progress is impressive. Keep using Leaderboard!,Tumhara generic progress impressive hai. Leaderboard use karte raho!,Try Now,Abhi Try Karo,friendly,unpredictability,Leaderboard,1.0
TPL_0016,0,Needs Attention,inactive,activation,epic_meaning,1,🚀 Be part of it!,🚀 Iska hissa bano!,Explore Core Feature and take the next step in your generic journey!,Core Feature explore karo aur apne generic journey mein aage badho!,Open Now,Abhi Kholo,friendly,epic_meaning,Core Feature,1.0
TPL_0017,0,Needs Attention,inactive,activation,epic_meaning,2,🌍 Make an impact!,🌍 Impact daalo!,Your User Dashboard experience is waiting. Check it out now!,Tumhara User Dashboard experience wait kar raha. Abhi dekho!,Check It Out,Dekho,friendly,epic_meaning,User Dashboard,1.0
TPL_0018,0,Needs Attention,inactive,activation,epic_meaning,3,💫 Transform today!,💫 Aaj transform karo!,Make the most of Notifications today. You're doing great!,Aaj Notifications ka best use karo. Bahut accha chal raha!,Get Started,Shuru Karo,friendly,epic_meaning,Notifications,1.0
TPL_0019,0,Needs Attention,inactive,activation,epic_meaning,4,🎓 Your journey!,🎓 Tumhara safar!,Don't miss what's new in Ai Tutor. Open and see!,Ai Tutor mein naya kya hai miss mat karo. Khol ke dekho!,Explore,Explore Karo,friendly,epic_meaning,Ai Tutor,1.0
TPL_0020,0,Needs Attention,inactive,activation,epic_meaning,5,✨ Something bigger!,✨ Kuch bada karo!,Your generic progress is impressive. Keep using Leaderboard!,Tumhara generic progress impressive hai. Leaderboard use karte raho!,Try Now,Abhi Try Karo,friendly,epic_meaning,Leaderboard,1.0
TPL_0021,0,Needs Attention,paid,advocacy,unpredictability,1,🎁 Surprise for you!,🎁 Tumhare liye surprise!,Explore Core Feature and take the next step in your generic journey!,Core Feature explore karo aur apne generic journey mein aage badho!,Open Now,Abhi Kholo,friendly,unpredictability,Core Feature,1.0
TPL_0022,0,Needs Attention,paid,advocacy,unpredictability,2,✨ Something new!,✨ Kuch naya hai!,Your User Dashboard experience is waiting. Check it out now!,Tumhara User Dashboard experience wait kar raha. Abhi dekho!,Check It Out,Dekho,friendly,unpredictability,User Dashboard,1.0
TPL_0023,0,Needs Attention,paid,advocacy,unpredictability,3,🎲 Discover today!,🎲 Aaj discover karo!,Make the most of Notifications today. You're doing great!,Aaj Notifications ka best use karo. Bahut accha chal raha!,Get Started,Shuru Karo,friendly,unpredictability,Notifications,1.0
TPL_0024,0,Needs Attention,paid,advocacy,unpredictability,4,🔓 Unlock something!,🔓 Kuch unlock karo!,Don't miss what's new in Ai Tutor. Open and see!,Ai Tutor mein naya kya hai miss mat karo. Khol ke dekho!,Explore,Explore Karo,friendly,unpredictability,Ai Tutor,1.0
TPL_0025,0,Needs Attention,paid,advocacy,unpredictability,5,🎉 Check this out!,🎉 Ye dekho!,Your generic progress is impressive. Keep using Leaderboard!,Tumhara generic progress impressive hai. Leaderboard use karte raho!,Try Now,Abhi Try Karo,friendly,unpredictability,Leaderboard,1.0
TPL_0027,0,Needs Attention,paid,advocacy,epic_meaning,2,🌍 Make an impact!,🌍 Impact daalo!,Your User Dashboard experience is waiting. Check it out now!,Tumhara User Dashboard experience wait kar raha. Abhi dekho!,Check It Out,Dekho,friendly,epic_meaning,User Dashboard,1.0
TPL_0028,0,Needs Attention,paid,advocacy,epic_meaning,3,💫 Transform today!,💫 Aaj transform karo!,Make the most of Notifications today. You're doing great!,Aaj Notifications ka best use karo. Bahut accha chal raha!,Get Started,Shuru Karo,friendly,epic_meaning,Notifications,1.0
TPL_0029,0,Needs Attention,paid,advocacy,epic_meaning,4,🎓 Your journey!,🎓 Tumhara safar!,Don't miss what's new in Ai Tutor. Open and see!,Ai Tutor mein naya kya hai miss mat karo. Khol ke dekho!,Explore,Explore Karo,friendly,epic_meaning,Ai Tutor,1.0
TPL_0030,0,Needs Attention,paid,advocacy,epic_meaning,5,✨ Something bigger!,✨ Kuch bada karo!,Your generic progress is impressive. Keep using Leaderboard!,Tumhara generic progress impressive hai. Leaderboard use karte raho!,Try Now,Abhi Try Karo,friendly,epic_meaning,Leaderboard,1.0
TPL_0031,0,Needs Attention,paid,deepening,unpredictability,1,🎁 Surprise for you!,🎁 Tumhare liye surprise!,Explore Core Feature and take the next step in your generic journey!,Core Feature explore karo aur apne generic journey mein aage badho!,Open Now,Abhi Kholo,friendly,unpredictability,Core Feature,1.0
TPL_0032,0,Needs Attention,paid,deepening,unpredictability,2,✨ Something new!,✨ Kuch naya hai!,Your User Dashboard experience is waiting. Check it out now!,Tumhara User Dashboard experience wait kar raha. Abhi dekho!,Check It Out,Dekho,friendly,unpredictability,User Dashboard,1.0
TPL_0033,0,Needs Attention,paid,deepening,unpredictability,3,🎲 Discover today!,🎲 Aaj discover karo!,Make the most of Notifications today. You're doing great!,Aaj Notifications ka best use karo. Bahut accha chal raha!,Get Started,Shuru Karo,friendly,unpredictability,Notifications,1.0
TPL_0034,0,Needs Attention,paid,deepening,unpredictability,4,🔓 Unlock something!,🔓 Kuch unlock karo!,Don't miss what's new in Ai Tutor. Open and see!,Ai Tutor mein naya kya hai miss mat karo. Khol ke dekho!,Explore,Explore Karo,friendly,unpredictability,Ai Tutor,1.0
TPL_0035,0,Needs Attention,paid,deepening,unpredictability,5,🎉 Check this out!,🎉 Ye dekho!,Your generic progress is impressive. Keep using Leaderboard!,Tumhara generic progress impressive hai. Leaderboard use karte raho!,Try Now,Abhi Try Karo,friendly,unpredictability,Leaderboard,1.0
TPL_0036,0,Needs Attention,paid,deepening,epic_meaning,1,🚀 Be part of it!,🚀 Iska hissa bano!,Explore Core Feature and take the next step in your generic journey!,Core Feature explore karo aur apne generic journey mein aage badho!,Open Now,Abhi Kholo,friendly,epic_meaning,Core Feature,1.0
TPL_0037,0,Needs Attention,paid,deepening,epic_meaning,2,🌍 Make an impact!,🌍 Impact daalo!,Your User Dashboard experience is waiting. Check it out now!,Tumhara User Dashboard experience wait kar raha. Abhi dekho!,Check It Out,Dekho,friendly,epic_meaning,User Dashboard,1.0
TPL_0038,0,Needs Attention,paid,deepening,epic_meaning,3,💫 Transform today!,💫 Aaj transform karo!,Make the most of Notifications today. You're doing great!,Aaj Notifications ka best use karo. Bahut accha chal raha!,Get Started,Shuru Karo,friendly,epic_meaning,Notifications,1.0
TPL_0039,0,Needs Attention,paid,deepening,epic_meaning,4,🎓 Your journey!,🎓 Tumhara safar!,Don't miss what's new in Ai Tutor. Open and see!,Ai Tutor mein naya kya hai miss mat karo. Khol ke dekho!,Explore,Explore Karo,friendly,epic_meaning,Ai Tutor,1.0
TPL_0040,0,Needs Attention,paid,deepening,epic_meaning,5,✨ Something bigger!,✨ Kuch bada karo!,Your generic progress is impressive. Keep using Leaderboard!,Tumhara generic progress impressive hai. Leaderboard use karte raho!,Try Now,Abhi Try Karo,friendly,epic_meaning,Leaderboard,1.0
TPL_0041,0,Needs Attention,paid,expansion,unpredictability,1,🎁 Surprise for you!,🎁 Tumhare liye surprise!,Explore Core Feature and take the next step in your generic journey!,Core Feature explore karo aur apne generic journey mein aage badho!,Open Now,Abhi Kholo,friendly,unpredictability,Core Feature,2.0
TPL_0042,0,Needs Attention,paid,expansion,unpredictability,2,✨ Something new!,✨ Kuch naya hai!,Your User Dashboard experience is waiting. Check it out now!,Tumhara User Dashboard experience wait kar raha. Abhi dekho!,Check It Out,Dekho,friendly,unpredictability,User Dashboard,1.0
TPL_0043,0,Needs Attention,paid,expansion,unpredictability,3,🎲 Discover today!,🎲 Aaj discover karo!,Make the most of Notifications today. You're doing great!,Aaj Notifications ka best use karo. Bahut accha chal raha!,Get Started,Shuru Karo,friendly,unpredictability,Notifications,1.0
TPL_0044,0,Needs Attention,paid,expansion,unpredictability,4,🔓 Unlock something!,🔓 Kuch unlock karo!,Don't miss what's new in Ai Tutor. Open and see!,Ai Tutor mein naya kya hai miss mat karo. Khol ke dekho!,Explore,Explore Karo,friendly,unpredictability,Ai Tutor,1.0
TPL_0045,0,Needs Attention,paid,expansion,unpredictability,5,🎉 Check this out!,🎉 Ye dekho!,Your generic progress is impressive. Keep using Leaderboard!,Tumhara generic progress impressive hai. Leaderboard use karte raho!,Try Now,Abhi Try Karo,friendly,unpredictability,Leaderboard,1.0
TPL_0046,0,Needs Attention,paid,expansion,epic_meaning,1,🚀 Be part of it!,🚀 Iska hissa bano!,Explore Core Feature and take the next step in your generic journey!,Core Feature explore karo aur apne generic journey mein aage badho!,Open Now,Abhi Kholo,friendly,epic_meaning,Core Feature,1.0
TPL_0047,0,Needs Attention,paid,expansion,epic_meaning,2,🌍 Make an impact!,🌍 Impact daalo!,Your User Dashboard experience is waiting. Check it out now!,Tumhara User Dashboard experience wait kar raha. Abhi dekho!,Check It Out,Dekho,friendly,epic_meaning,User Dashboard,1.0
TPL_0048,0,Needs Attention,paid,expansion,epic_meaning,3,💫 Transform today!,💫 Aaj transform karo!,Make the most of Notifications today. You're doing great!,Aaj Notifications ka best use karo. Bahut accha chal raha!,Get Started,Shuru Karo,friendly,epic_meaning,Notifications,1.0
TPL_0049,0,Needs Attention,paid,expansion,epic_meaning,4,🎓 Your journey!,🎓 Tumhara safar!,Don't miss what's new in Ai Tutor. Open and see!,Ai Tutor mein naya kya hai miss mat karo. Khol ke dekho!,Explore,Explore Karo,friendly,epic_meaning,Ai Tutor,1.0
TPL_0050,0,Needs Attention,paid,expansion,epic_meaning,5,✨ Something bigger!,✨ Kuch bada karo!,Your generic progress is impressive. Keep using Leaderboard!,Tumhara generic progress impressive hai. Leaderboard use karte raho!,Try Now,Abhi Try Karo,friendly,epic_meaning,Leaderboard,1.0
TPL_0051,0,Needs Attention,paid,retention,unpredictability,1,🎁 Surprise for you!,🎁 Tumhare liye surprise!,Explore Core Feature and take the next step in your generic journey!,Core Feature explore karo aur apne generic journey mein aage badho!,Open Now,Abhi Kholo,friendly,unpredictability,Core Feature,1.0
TPL_0052,0,Needs Attention,paid,retention,unpredictability,2,✨ Something new!,✨ Kuch naya hai!,Your User Dashboard experience is waiting. Check it out now!,Tumhara User Dashboard experience wait kar raha. Abhi dekho!,Check It Out,Dekho,friendly,unpredictability,User Dashboard,1.0
TPL_0053,0,Needs Attention,paid,retention,unpredictability,3,🎲 Discover today!,🎲 Aaj discover karo!,Make the most of Notifications today. You're doing great!,Aaj Notifications ka best use karo. Bahut accha chal raha!,Get Started,Shuru Karo,friendly,unpredictability,Notifications,1.0
TPL_0054,0,Needs Attention,paid,retention,unpredictability,4,🔓 Unlock something!,🔓 Kuch unlock karo!,Don't miss what's new in Ai Tutor. Open and see!,Ai Tutor mein naya kya hai miss mat karo. Khol ke dekho!,Explore,Explore Karo,friendly,unpredictability,Ai Tutor,1.0
TPL_0055,0,Needs Attention,paid,retention,unpredictability,5,🎉 Check this out!,🎉 Ye dekho!,Your generic progress is impressive. Keep using Leaderboard!,Tumhara generic progress impressive hai. Leaderboard use karte raho!,Try Now,Abhi Try Karo,friendly,unpredictability,Leaderboard,1.0
TPL_0057,0,Needs Attention,paid,retention,epic_meaning,2,🌍 Make an impact!,🌍 Impact daalo!,Your User Dashboard experience is waiting. Check it out now!,Tumhara User Dashboard experience wait kar raha. Abhi dekho!,Check It Out,Dekho,friendly,epic_meaning,User Dashboard,1.0
TPL_0058,0,Needs Attention,paid,retention,epic_meaning,3,💫 Transform today!,💫 Aaj transform karo!,Make the most of Notifications today. You're doing great!,Aaj Notifications ka best use karo. Bahut accha chal raha!,Get Started,Shuru Karo,friendly,epic_meaning,Notifications,1.0
TPL_0059,0,Needs Attention,paid,retention,epic_meaning,4,🎓 Your journey!,🎓 Tumhara safar!,Don't miss what's new in Ai Tutor. Open and see!,Ai Tutor mein naya kya hai miss mat karo. Khol ke dekho!,Explore,Explore Karo,friendly,epic_meaning,Ai Tutor,1.0
TPL_0060,0,Needs Attention,paid,retention,epic_meaning,5,✨ Something bigger!,✨ Kuch bada karo!,Your generic progress is impressive. Keep using Leaderboard!,Tumhara generic progress impressive hai. Leaderboard use karte raho!,Try Now,Abhi Try Karo,friendly,epic_meaning,Leaderboard,1.0
TPL_0061,0,Needs Attention,trial,activation,unpredictability,1,🎁 Surprise for you!,🎁 Tumhare liye surprise!,Explore Core Feature and take the next step in your generic journey!,Core Feature explore karo aur apne generic journey mein aage badho!,Open Now,Abhi Kholo,friendly,unpredictability,Core Feature,1.0
TPL_0062,0,Needs Attention,trial,activation,unpredictability,2,✨ Something new!,✨ Kuch naya hai!,Your User Dashboard experience is waiting. Check it out now!,Tumhara User Dashboard experience wait kar raha. Abhi dekho!,Check It Out,Dekho,friendly,unpredictability,User Dashboard,1.0
TPL_0063,0,Needs Attention,trial,activation,unpredictability,3,🎲 Discover today!,🎲 Aaj discover karo!,Make the most of Notifications today. You're doing great!,Aaj Notifications ka best use karo. Bahut accha chal raha!,Get Started,Shuru Karo,friendly,unpredictability,Notifications,1.0
TPL_0064,0,Needs Attention,trial,activation,unpredictability,4,🔓 Unlock something!,🔓 Kuch unlock karo!,Don't miss what's new in Ai Tutor. Open and see!,Ai Tutor mein naya kya hai miss mat karo. Khol ke dekho!,Explore,Explore Karo,friendly,unpredictability,Ai Tutor,1.0
TPL_0065,0,Needs Attention,trial,activation,unpredictability,5,🎉 Check this out!,🎉 Ye dekho!,Your generic progress is impressive. Keep using Leaderboard!,Tumhara generic progress impressive hai. Leaderboard use karte raho!,Try Now,Abhi Try Karo,friendly,unpredictability,Leaderboard,1.0
TPL_0066,0,Needs Attention,trial,activation,epic_meaning,1,🚀 Be part of it!,🚀 Iska hissa bano!,Explore Core Feature and take the next step in your generic journey!,Core Feature explore karo aur apne generic journey mein aage badho!,Open Now,Abhi Kholo,friendly,epic_meaning,Core Feature,2.0
TPL_0067,0,Needs Attention,trial,activation,epic_meaning,2,🌍 Make an impact!,🌍 Impact daalo!,Your User Dashboard experience is waiting. Check it out now!,Tumhara User Dashboard experience wait kar raha. Abhi dekho!,Check It Out,Dekho,friendly,epic_meaning,User Dashboard,1.0
TPL_0068,0,Needs Attention,trial,activation,epic_meaning,3,💫 Transform today!,💫 Aaj transform karo!,Make the most of Notifications today. You're doing great!,Aaj Notifications ka best use karo. Bahut accha chal raha!,Get Started,Shuru Karo,friendly,epic_meaning,Notifications,1.0
TPL_0069,0,Needs Attention,trial,activation,epic_meaning,4,🎓 Your journey!,🎓 Tumhara safar!,Don't miss what's new in Ai Tutor. Open and see!,Ai Tutor mein naya kya hai miss mat karo. Khol ke dekho!,Explore,Explore Karo,friendly,epic_meaning,Ai Tutor,1.0
TPL_0070,0,Needs Attention,trial,activation,epic_meaning,5,✨ Something bigger!,✨ Kuch bada karo!,Your generic progress is impressive. Keep using Leaderboard!,Tumhara generic progress impressive hai. Leaderboard use karte raho!,Try Now,Abhi Try Karo,friendly,epic_meaning,Leaderboard,1.0
TPL_0071,0,Needs Attention,trial,conversion_readiness,unpredictability,1,🎁 Surprise for you!,🎁 Tumhare liye surprise!,Explore Core Feature and take the next step in your generic journey!,Core Feature explore karo aur apne generic journey mein aage badho!,Open Now,Abhi Kholo,friendly,unpredictability,Core Feature,1.0
TPL_0072,0,Needs Attention,trial,conversion_readiness,unpredictability,2,✨ Something new!,✨ Kuch naya hai!,Your User Dashboard experience is waiting. Check it out now!,Tumhara User Dashboard experience wait kar raha. Abhi dekho!,Check It Out,Dekho,friendly,unpredictability,User Dashboard,1.0
TPL_0073,0,Needs Attention,trial,conversion_readiness,unpredictability,3,🎲 Discover today!,🎲 Aaj discover karo!,Make the most of Notifications today. You're doing great!,Aaj Notifications ka best use karo. Bahut accha chal raha!,Get Started,Shuru Karo,friendly,unpredictability,Notifications,1.0
TPL_0074,0,Needs Attention,trial,conversion_readiness,unpredictability,4,🔓 Unlock something!,🔓 Kuch unlock karo!,Don't miss what's new in Ai Tutor. Open and see!,Ai Tutor mein naya kya hai miss mat karo. Khol ke dekho!,Explore,Explore Karo,friendly,unpredictability,Ai Tutor,1.0
TPL_0075,0,Needs Attention,trial,conversion_readiness,unpredictability,5,🎉 Check this out!,🎉 Ye dekho!,Your generic progress is impressive. Keep using Leaderboard!,Tumhara generic progress impressive hai. Leaderboard use karte raho!,Try Now,Abhi Try Karo,friendly,unpredictability,Leaderboard,1.0
TPL_0076,0,Needs Attention,trial,conversion_readiness,epic_meaning,1,🚀 Be part of it!,🚀 Iska hissa bano!,Explore Core Feature and take the next step in your generic journey!,Core Feature explore karo aur apne generic journey mein aage badho!,Open Now,Abhi Kholo,friendly,epic_meaning,Core Feature,1.0
TPL_0077,0,Needs Attention,trial,conversion_readiness,epic_meaning,2,🌍 Make an impact!,🌍 Impact daalo!,Your User Dashboard experience is waiting. Check it out now!,Tumhara User Dashboard experience wait kar raha. Abhi dekho!,Check It Out,Dekho,friendly,epic_meaning,User Dashboard,1.0
TPL_0078,0,Needs Attention,trial,conversion_readiness,epic_meaning,3,💫 Transform today!,💫 Aaj transform karo!,Make the most of Notifications today. You're doing great!,Aaj Notifications ka best use karo. Bahut accha chal raha!,Get Started,Shuru Karo,friendly,epic_meaning,Notifications,1.0
TPL_0079,0,Needs Attention,trial,conversion_readiness,epic_meaning,4,🎓 Your journey!,🎓 Tumhara safar!,Don't miss what's new in Ai Tutor. Open and see!,Ai Tutor mein naya kya hai miss mat karo. Khol ke dekho!,Explore,Explore Karo,friendly,epic_meaning,Ai Tutor,1.0
TPL_0080,0,Needs Attention,trial,conversion_readiness,epic_meaning,5,✨ Something bigger!,✨ Kuch bada karo!,Your generic progress is impressive. Keep using Leaderboard!,Tumhara generic progress impressive hai. Leaderboard use karte raho!,Try Now,Abhi Try Karo,friendly,epic_meaning,Leaderboard,1.0
TPL_0082,0,Needs Attention,trial,feature_discovery,unpredictability,2,✨ Something new!,✨ Kuch naya hai!,Your User Dashboard experience is waiting. Check it out now!,Tumhara User Dashboard experience wait kar raha. Abhi dekho!,Check It Out,Dekho,friendly,unpredictability,User Dashboard,1.0
TPL_0083,0,Needs Attention,trial,feature_discovery,unpredictability,3,🎲 Discover today!,🎲 Aaj discover karo!,Make the most of Notifications today. You're doing great!,Aaj Notifications ka best use karo. Bahut accha chal raha!,Get Started,Shuru Karo,friendly,unpredictability,Notifications,1.0
TPL_0084,0,Needs Attention,trial,feature_discovery,unpredictability,4,🔓 Unlock something!,🔓 Kuch unlock karo!,Don't miss what's new in Ai Tutor. Open and see!,Ai Tutor mein naya kya hai miss mat karo. Khol ke dekho!,Explore,Explore Karo,friendly,unpredictability,Ai Tutor,1.0
TPL_0085,0,Needs Attention,trial,feature_discovery,unpredictability,5,🎉 Check this out!,🎉 Ye dekho!,Your generic progress is impressive. Keep using Leaderboard!,Tumhara generic progress impressive hai. Leaderboard use karte raho!,Try Now,Abhi Try Karo,friendly,unpredictability,Leaderboard,1.0
TPL_0086,0,Needs Attention,trial,feature_discovery,epic_meaning,1,🚀 Be part of it!,🚀 Iska hissa bano!,Explore Core Feature and take the next step in your generic journey!,Core Feature explore karo aur apne generic journey mein aage badho!,Open Now,Abhi Kholo,friendly,epic_meaning,Core Feature,1.0
TPL_0087,0,Needs Attention,trial,feature_discovery,epic_meaning,2,🌍 Make an impact!,🌍 Impact daalo!,Your User Dashboard experience is waiting. Check it out now!,Tumhara User Dashboard experience wait kar raha. Abhi dekho!,Check It Out,Dekho,friendly,epic_meaning,User Dashboard,1.0
TPL_0088,0,Needs Attention,trial,feature_discovery,epic_meaning,3,💫 Transform today!,💫 Aaj transform karo!,Make the most of Notifications today. You're doing great!,Aaj Notifications ka best use karo. Bahut accha chal raha!,Get Started,Shuru Karo,friendly,epic_meaning,Notifications,1.0
TPL_0089,0,Needs Attention,trial,feature_discovery,epic_meaning,4,🎓 Your journey!,🎓 Tumhara safar!,Don't miss what's new in Ai Tutor. Open and see!,Ai Tutor mein naya kya hai miss mat karo. Khol ke dekho!,Explore,Explore Karo,friendly,epic_meaning,Ai Tutor,1.0
TPL_0090,0,Needs Attention,trial,feature_discovery,epic_meaning,5,✨ Something bigger!,✨ Kuch bada karo!,Your generic progress is impressive. Keep using Leaderboard!,Tumhara generic progress impressive hai. Leaderboard use karte raho!,Try Now,Abhi Try Karo,friendly,epic_meaning,Leaderboard,1.0
TPL_0092,0,Needs Attention,trial,habit_formation,unpredictability,2,✨ Something new!,✨ Kuch naya hai!,Your User Dashboard experience is waiting. Check it out now!,Tumhara User Dashboard experience wait kar raha. Abhi dekho!,Check It Out,Dekho,friendly,unpredictability,User Dashboard,1.0
TPL_0093,0,Needs Attention,trial,habit_formation,unpredictability,3,🎲 Discover today!,🎲 Aaj discover karo!,Make the most of Notifications today. You're doing great!,Aaj Notifications ka best use karo. Bahut accha chal raha!,Get Started,Shuru Karo,friendly,unpredictability,Notifications,1.0
TPL_0094,0,Needs Attention,trial,habit_formation,unpredictability,4,🔓 Unlock something!,🔓 Kuch unlock karo!,Don't miss what's new in Ai Tutor. Open and see!,Ai Tutor mein naya kya hai miss mat karo. Khol ke dekho!,Explore,Explore Karo,friendly,unpredictability,Ai Tutor,1.0
TPL_0095,0,Needs Attention,trial,habit_formation,unpredictability,5,🎉 Check this out!,🎉 Ye dekho!,Your generic progress is impressive. Keep using Leaderboard!,Tumhara generic progress impressive hai. Leaderboard use karte raho!,Try Now,Abhi Try Karo,friendly,unpredictability,Leaderboard,1.0
TPL_0096,0,Needs Attention,trial,habit_formation,epic_meaning,1,🚀 Be part of it!,🚀 Iska hissa bano!,Explore Core Feature and take the next step in your generic journey!,Core Feature explore karo aur apne generic journey mein aage badho!,Open Now,Abhi Kholo,friendly,epic_meaning,Core Feature,1.0
TPL_0097,0,Needs Attention,trial,habit_formation,epic_meaning,2,🌍 Make an impact!,🌍 Impact daalo!,Your User Dashboard experience is waiting. Check it out now!,Tumhara User Dashboard experience wait kar raha. Abhi dekho!,Check It Out,Dekho,friendly,epic_meaning,User Dashboard,1.0
TPL_0098,0,Needs Attention,trial,habit_formation,epic_meaning,3,💫 Transform today!,💫 Aaj transform karo!,Make the most of Notifications today. You're doing great!,Aaj Notifications ka best use karo. Bahut accha chal raha!,Get Started,Shuru Karo,friendly,epic_meaning,Notifications,1.0
TPL_0099,0,Needs Attention,trial,habit_formation,epic_meaning,4,🎓 Your journey!,🎓 Tumhara safar!,Don't miss what's new in Ai Tutor. Open and see!,Ai Tutor mein naya kya hai miss mat karo. Khol ke dekho!,Explore,Explore Karo,friendly,epic_meaning,Ai Tutor,1.0
TPL_0100,0,Needs Attention,trial,habit_formation,epic_meaning,5,✨ Something bigger!,✨ Kuch bada karo!,Your generic progress is impressive. Keep using Leaderboard!,Tumhara generic progress impressive hai. Leaderboard use karte raho!,Try Now,Abhi Try Karo,friendly,epic_meaning,Leaderboard,1.0
TPL_0101,1,At-Risk Users,churned,re_engagement,loss_avoidance,1,⚠️ Don't miss out!,⚠️ Miss mat karo!,Explore Core Feature and take the next step in your generic journey!,Core Feature explore karo aur apne generic journey mein aage badho!,Open Now,Abhi Kholo,friendly,loss_avoidance,Core Feature,2.0
TPL_0102,1,At-Risk Users,churned,re_engagement,loss_avoidance,2,🔔 Time is running out!,🔔 Time khatam ho raha!,Your User Dashboard experience is waiting. Check it out now!,Tumhara User Dashboard experience wait kar raha. Abhi dekho!,Check It Out,Dekho,friendly,loss_avoidance,User Dashboard,1.0
TPL_0103,1,At-Risk Users,churned,re_engagement,loss_avoidance,3,⏰ Act before it's late!,⏰ Der se pehle karo!,Make the most of Notifications today. You're doing great!,Aaj Notifications ka best use karo. Bahut accha chal raha!,Get Started,Shuru Karo,friendly,loss_avoidance,Notifications,1.0
