template_id,segment_id,segment_name,lifecycle_stage,goal,theme,language,content,tone,hook,feature_reference
T0012,0,Segment 0,inactive,activation,unpredictability,en,Try the AI tutor—see how it helps!,curious,unpredictability,exercises
T0012_hi,0,Segment 0,inactive,activation,unpredictability,hi,आज Try the AI tutor—see how it helps!,curious,unpredictability,exercises
T0013,0,Segment 0,inactive,activation,unpredictability,en,Unlock a surprise reward after your next exercise!,curious,unpredictability,exercises
T0013_hi,0,Segment 0,inactive,activation,unpredictability,hi,Unlock a surprise reward after आपका next अभ्यास!,curious,unpredictability,exercises
T0014,0,Segment 0,inactive,activation,unpredictability,en,What's your speaking score today? Find out!,curious,unpredictability,exercises
T0014_hi,0,Segment 0,inactive,activation,unpredictability,hi,What's आपका बोलना score आज? Find out!,curious,unpredictability,exercises
T0015,0,Segment 0,inactive,activation,unpredictability,en,Explore new practice scenarios—start now!,curious,unpredictability,exercises
T0015_hi,0,Segment 0,inactive,activation,unpredictability,hi,Explore new अभ्यास करें scenarios—start now!,curious,unpredictability,exercises
T0016,0,Segment 0,inactive,activation,epic_meaning,en,Join 1M+ Indians becoming confident speakers!,aspirational,epic_meaning,exercises
T0016_hi,0,Segment 0,inactive,activation,epic_meaning,hi,आज Join 1M+ Indians becoming confident speakers!,aspirational,epic_meaning,exercises
T0017,0,Segment 0,inactive,activation,epic_meaning,en,Be part of the English learning revolution!,aspirational,epic_meaning,exercises
T0017_hi,0,Segment 0,inactive,activation,epic_meaning,hi,Be part of the अंग्रेजी सीखेंing revolution!,aspirational,epic_meaning,exercises
T0018,0,Segment 0,inactive,activation,epic_meaning,en,Transform your career—practice speaking today!,aspirational,epic_meaning,exercises
T0018_hi,0,Segment 0,inactive,activation,epic_meaning,hi,Transform आपका career—अभ्यास करें बोलना आज!,aspirational,epic_meaning,exercises
T0019,0,Segment 0,inactive,activation,epic_meaning,en,Join thousands improving their English daily!,aspirational,epic_meaning,exercises
T0019_hi,0,Segment 0,inactive,activation,epic_meaning,hi,Join thousands improving their अंग्रेजी daily!,aspirational,epic_meaning,exercises
T0020,0,Segment 0,inactive,activation,epic_meaning,en,Your journey to fluency starts today!,aspirational,epic_meaning,exercises
T0020_hi,0,Segment 0,inactive,activation,epic_meaning,hi,Your journey to fluency starts आज!,aspirational,epic_meaning,exercises
T0021,0,Segment 0,paid,advocacy,accomplishment,en,You've completed {exercises_completed_7d} exercises this week—keep going!,celebratory,accomplishment,exercises
T0021_hi,0,Segment 0,paid,advocacy,accomplishment,hi,You've पूरा करेंd {अभ्यासs_पूरा करेंd_7d} अभ्यासs this week—जारी रखें!,celebratory,accomplishment,exercises
T0022,0,Segment 0,paid,advocacy,accomplishment,en,Day {streak_current} of your streak! Complete today's exercise.,celebratory,accomplishment,exercises
T0022_hi,0,Segment 0,paid,advocacy,accomplishment,hi,Day {स्ट्रीक_current} of आपका स्ट्रीक! Complete आज's अभ्यास.,celebratory,accomplishment,exercises
T0023,0,Segment 0,paid,advocacy,accomplishment,en,{exercises_completed_7d} exercises done—you're making progress!,celebratory,accomplishment,exercises
T0023_hi,0,Segment 0,paid,advocacy,accomplishment,hi,{अभ्यासs_पूरा करेंd_7d} अभ्यासs done—आप're making progress!,celebratory,accomplishment,exercises
T0024,0,Segment 0,paid,advocacy,accomplishment,en,You've earned {coins_balance} coins! Complete another exercise.,celebratory,accomplishment,exercises
T0024_hi,0,Segment 0,paid,advocacy,accomplishment,hi,You've earned {सिक्के_balance} सिक्के! Complete another अभ्यास.,celebratory,accomplishment,exercises
T0025,0,Segment 0,paid,advocacy,accomplishment,en,Your {streak_current}-day streak is impressive—maintain it today!,celebratory,accomplishment,exercises
T0025_hi,0,Segment 0,paid,advocacy,accomplishment,hi,Your {स्ट्रीक_current}-दिन स्ट्रीक is impressive—maintain it आज!,celebratory,accomplishment,exercises
T0026,0,Segment 0,paid,advocacy,ownership,en,Your {coins_balance} coins—use them wisely!,celebratory,ownership,exercises
T0026_hi,0,Segment 0,paid,advocacy,ownership,hi,Your {सिक्के_balance} सिक्के—use them wisely!,celebratory,ownership,exercises
T0027,0,Segment 0,paid,advocacy,ownership,en,You've built a {streak_current}-day streak—it's yours!,celebratory,ownership,exercises
T0027_hi,0,Segment 0,paid,advocacy,ownership,hi,You've built a {स्ट्रीक_current}-दिन स्ट्रीक—it's आपकाs!,celebratory,ownership,exercises
T0028,0,Segment 0,paid,advocacy,ownership,en,"Your progress, your achievement—keep building!",celebratory,ownership,exercises
T0028_hi,0,Segment 0,paid,advocacy,ownership,hi,"Your progress, आपका achievement—keep building!",celebratory,ownership,exercises
T0029,0,Segment 0,paid,advocacy,ownership,en,You own {coins_balance} coins—earn more today!,celebratory,ownership,exercises
T0029_hi,0,Segment 0,paid,advocacy,ownership,hi,You own {सिक्के_balance} सिक्के—earn more आज!,celebratory,ownership,exercises
T0030,0,Segment 0,paid,advocacy,ownership,en,Your learning journey—make it count today!,celebratory,ownership,exercises
T0030_hi,0,Segment 0,paid,advocacy,ownership,hi,Your सीखेंing journey—make it count आज!,celebratory,ownership,exercises
T0031,0,Segment 0,paid,expansion,accomplishment,en,You've completed {exercises_completed_7d} exercises this week—keep going!,celebratory,accomplishment,leaderboard
T0031_hi,0,Segment 0,paid,expansion,accomplishment,hi,You've पूरा करेंd {अभ्यासs_पूरा करेंd_7d} अभ्यासs this week—जारी रखें!,celebratory,accomplishment,leaderboard
T0032,0,Segment 0,paid,expansion,accomplishment,en,Day {streak_current} of your streak! Complete today's exercise.,celebratory,accomplishment,leaderboard
T0032_hi,0,Segment 0,paid,expansion,accomplishment,hi,Day {स्ट्रीक_current} of आपका स्ट्रीक! Complete आज's अभ्यास.,celebratory,accomplishment,leaderboard
T0033,0,Segment 0,paid,expansion,accomplishment,en,{exercises_completed_7d} exercises done—you're making progress!,celebratory,accomplishment,leaderboard
T0033_hi,0,Segment 0,paid,expansion,accomplishment,hi,{अभ्यासs_पूरा करेंd_7d} अभ्यासs done—आप're making progress!,celebratory,accomplishment,leaderboard
T0034,0,Segment 0,paid,expansion,accomplishment,en,You've earned {coins_balance} coins! Complete another exercise.,celebratory,accomplishment,leaderboard
T0034_hi,0,Segment 0,paid,expansion,accomplishment,hi,You've earned {सिक्के_balance} सिक्के! Complete another अभ्यास.,celebratory,accomplishment,leaderboard
T0035,0,Segment 0,paid,expansion,accomplishment,en,Your {streak_current}-day streak is impressive—maintain it today!,celebratory,accomplishment,leaderboard
T0035_hi,0,Segment 0,paid,expansion,accomplishment,hi,Your {स्ट्रीक_current}-दिन स्ट्रीक is impressive—maintain it आज!,celebratory,accomplishment,leaderboard
T0036,0,Segment 0,paid,expansion,ownership,en,Your {coins_balance} coins—use them wisely!,celebratory,ownership,leaderboard
T0036_hi,0,Segment 0,paid,expansion,ownership,hi,Your {सिक्के_balance} सिक्के—use them wisely!,celebratory,ownership,leaderboard
T0037,0,Segment 0,paid,expansion,ownership,en,You've built a {streak_current}-day streak—it's yours!,celebratory,ownership,leaderboard
T0037_hi,0,Segment 0,paid,expansion,ownership,hi,You've built a {स्ट्रीक_current}-दिन स्ट्रीक—it's आपकाs!,celebratory,ownership,leaderboard
T0038,0,Segment 0,paid,expansion,ownership,en,"Your progress, your achievement—keep building!",celebratory,ownership,leaderboard
T0038_hi,0,Segment 0,paid,expansion,ownership,hi,"Your progress, आपका achievement—keep building!",celebratory,ownership,leaderboard
T0039,0,Segment 0,paid,expansion,ownership,en,You own {coins_balance} coins—earn more today!,celebratory,ownership,leaderboard
T0039_hi,0,Segment 0,paid,expansion,ownership,hi,You own {सिक्के_balance} सिक्के—earn more आज!,celebratory,ownership,leaderboard
T0040,0,Segment 0,paid,expansion,ownership,en,Your learning journey—make it count today!,celebratory,ownership,leaderboard
T0040_hi,0,Segment 0,paid,expansion,ownership,hi,Your सीखेंing journey—make it count आज!,celebratory,ownership,leaderboard
T0041,0,Segment 0,paid,retention,accomplishment,en,You've completed {exercises_completed_7d} exercises this week—keep going!,celebratory,accomplishment,exercises
T0041_hi,0,Segment 0,paid,retention,accomplishment,hi,You've पूरा करेंd {अभ्यासs_पूरा करेंd_7d} अभ्यासs this week—जारी रखें!,celebratory,accomplishment,exercises
T0042,0,Segment 0,paid,retention,accomplishment,en,Day {streak_current} of your streak! Complete today's exercise.,celebratory,accomplishment,exercises
T0042_hi,0,Segment 0,paid,retention,accomplishment,hi,Day {स्ट्रीक_current} of आपका स्ट्रीक! Complete आज's अभ्यास.,celebratory,accomplishment,exercises
T0043,0,Segment 0,paid,retention,accomplishment,en,{exercises_completed_7d} exercises done—you're making progress!,celebratory,accomplishment,exercises
T0043_hi,0,Segment 0,paid,retention,accomplishment,hi,{अभ्यासs_पूरा करेंd_7d} अभ्यासs done—आप're making progress!,celebratory,accomplishment,exercises
T0044,0,Segment 0,paid,retention,accomplishment,en,You've earned {coins_balance} coins! Complete another exercise.,celebratory,accomplishment,exercises
T0044_hi,0,Segment 0,paid,retention,accomplishment,hi,You've earned {सिक्के_balance} सिक्के! Complete another अभ्यास.,celebratory,accomplishment,exercises
T0045,0,Segment 0,paid,retention,accomplishment,en,Your {streak_current}-day streak is impressive—maintain it today!,celebratory,accomplishment,exercises
T0045_hi,0,Segment 0,paid,retention,accomplishment,hi,Your {स्ट्रीक_current}-दिन स्ट्रीक is impressive—maintain it आज!,celebratory,accomplishment,exercises
T0046,0,Segment 0,paid,retention,ownership,en,Your {coins_balance} coins—use them wisely!,celebratory,ownership,exercises
T0046_hi,0,Segment 0,paid,retention,ownership,hi,Your {सिक्के_balance} सिक्के—use them wisely!,celebratory,ownership,exercises
T0047,0,Segment 0,paid,retention,ownership,en,You've built a {streak_current}-day streak—it's yours!,celebratory,ownership,exercises
T0047_hi,0,Segment 0,paid,retention,ownership,hi,You've built a {स्ट्रीक_current}-दिन स्ट्रीक—it's आपकाs!,celebratory,ownership,exercises
T0048,0,Segment 0,paid,retention,ownership,en,"Your progress, your achievement—keep building!",celebratory,ownership,exercises
T0048_hi,0,Segment 0,paid,retention,ownership,hi,"Your progress, आपका achievement—keep building!",celebratory,ownership,exercises
T0049,0,Segment 0,paid,retention,ownership,en,You own {coins_balance} coins—earn more today!,celebratory,ownership,exercises
T0049_hi,0,Segment 0,paid,retention,ownership,hi,You own {सिक्के_balance} सिक्के—earn more आज!,celebratory,ownership,exercises
T0050,0,Segment 0,paid,retention,ownership,en,Your learning journey—make it count today!,celebratory,ownership,exercises
T0050_hi,0,Segment 0,paid,retention,ownership,hi,Your सीखेंing journey—make it count आज!,celebratory,ownership,exercises
T0051,0,Segment 0,trial,activation,unpredictability,en,Discover a new speaking exercise today!,inviting,unpredictability,exercises
T0051_hi,0,Segment 0,trial,activation,unpredictability,hi,Discover a new बोलना अभ्यास आज!,inviting,unpredictability,exercises
T0052,0,Segment 0,trial,activation,unpredictability,en,Try the AI tutor—see how it helps!,inviting,unpredictability,exercises
T0052_hi,0,Segment 0,trial,activation,unpredictability,hi,आज Try the AI tutor—see how it helps!,inviting,unpredictability,exercises
T0053,0,Segment 0,trial,activation,unpredictability,en,Unlock a surprise reward after your next exercise!,inviting,unpredictability,exercises
T0053_hi,0,Segment 0,trial,activation,unpredictability,hi,Unlock a surprise reward after आपका next अभ्यास!,inviting,unpredictability,exercises
T0054,0,Segment 0,trial,activation,unpredictability,en,What's your speaking score today? Find out!,inviting,unpredictability,exercises
T0054_hi,0,Segment 0,trial,activation,unpredictability,hi,What's आपका बोलना score आज? Find out!,inviting,unpredictability,exercises
T0055,0,Segment 0,trial,activation,unpredictability,en,Explore new practice scenarios—start now!,inviting,unpredictability,exercises
T0055_hi,0,Segment 0,trial,activation,unpredictability,hi,Explore new अभ्यास करें scenarios—start now!,inviting,unpredictability,exercises
T0056,0,Segment 0,trial,activation,accomplishment,en,You've completed {exercises_completed_7d} exercises this week—keep going!,encouraging,accomplishment,exercises
T0056_hi,0,Segment 0,trial,activation,accomplishment,hi,You've पूरा करेंd {अभ्यासs_पूरा करेंd_7d} अभ्यासs this week—जारी रखें!,encouraging,accomplishment,exercises
T0057,0,Segment 0,trial,activation,accomplishment,en,Day {streak_current} of your streak! Complete today's exercise.,encouraging,accomplishment,exercises
T0057_hi,0,Segment 0,trial,activation,accomplishment,hi,Day {स्ट्रीक_current} of आपका स्ट्रीक! Complete आज's अभ्यास.,encouraging,accomplishment,exercises
T0058,0,Segment 0,trial,activation,accomplishment,en,{exercises_completed_7d} exercises done—you're making progress!,encouraging,accomplishment,exercises
T0058_hi,0,Segment 0,trial,activation,accomplishment,hi,{अभ्यासs_पूरा करेंd_7d} अभ्यासs done—आप're making progress!,encouraging,accomplishment,exercises
T0059,0,Segment 0,trial,activation,accomplishment,en,You've earned {coins_balance} coins! Complete another exercise.,encouraging,accomplishment,exercises
T0059_hi,0,Segment 0,trial,activation,accomplishment,hi,You've earned {सिक्के_balance} सिक्के! Complete another अभ्यास.,encouraging,accomplishment,exercises
T0060,0,Segment 0,trial,activation,accomplishment,en,Your {streak_current}-day streak is impressive—maintain it today!,encouraging,accomplishment,exercises
T0060_hi,0,Segment 0,trial,activation,accomplishment,hi,Your {स्ट्रीक_current}-दिन स्ट्रीक is impressive—maintain it आज!,encouraging,accomplishment,exercises
T0061,0,Segment 0,trial,conversion_readiness,unpredictability,en,Discover a new speaking exercise today!,inviting,unpredictability,exercises
T0061_hi,0,Segment 0,trial,conversion_readiness,unpredictability,hi,Discover a new बोलना अभ्यास आज!,inviting,unpredictability,exercises
T0062,0,Segment 0,trial,conversion_readiness,unpredictability,en,Try the AI tutor—see how it helps!,inviting,unpredictability,exercises
T0062_hi,0,Segment 0,trial,conversion_readiness,unpredictability,hi,आज Try the AI tutor—see how it helps!,inviting,unpredictability,exercises
T0063,0,Segment 0,trial,conversion_readiness,unpredictability,en,Unlock a surprise reward after your next exercise!,inviting,unpredictability,exercises
T0063_hi,0,Segment 0,trial,conversion_readiness,unpredictability,hi,Unlock a surprise reward after आपका next अभ्यास!,inviting,unpredictability,exercises
T0064,0,Segment 0,trial,conversion_readiness,unpredictability,en,What's your speaking score today? Find out!,inviting,unpredictability,exercises
T0064_hi,0,Segment 0,trial,conversion_readiness,unpredictability,hi,What's आपका बोलना score आज? Find out!,inviting,unpredictability,exercises
T0065,0,Segment 0,trial,conversion_readiness,unpredictability,en,Explore new practice scenarios—start now!,inviting,unpredictability,exercises
T0065_hi,0,Segment 0,trial,conversion_readiness,unpredictability,hi,Explore new अभ्यास करें scenarios—start now!,inviting,unpredictability,exercises
T0066,0,Segment 0,trial,conversion_readiness,accomplishment,en,You've completed {exercises_completed_7d} exercises this week—keep going!,encouraging,accomplishment,exercises
T0066_hi,0,Segment 0,trial,conversion_readiness,accomplishment,hi,You've पूरा करेंd {अभ्यासs_पूरा करेंd_7d} अभ्यासs this week—जारी रखें!,encouraging,accomplishment,exercises
T0067,0,Segment 0,trial,conversion_readiness,accomplishment,en,Day {streak_current} of your streak! Complete today's exercise.,encouraging,accomplishment,exercises
T0067_hi,0,Segment 0,trial,conversion_readiness,accomplishment,hi,Day {स्ट्रीक_current} of आपका स्ट्रीक! Complete आज's अभ्यास.,encouraging,accomplishment,exercises
T0068,0,Segment 0,trial,conversion_readiness,accomplishment,en,{exercises_completed_7d} exercises done—you're making progress!,encouraging,accomplishment,exercises
T0068_hi,0,Segment 0,trial,conversion_readiness,accomplishment,hi,{अभ्यासs_पूरा करेंd_7d} अभ्यासs done—आप're making progress!,encouraging,accomplishment,exercises
T0069,0,Segment 0,trial,conversion_readiness,accomplishment,en,You've earned {coins_balance} coins! Complete another exercise.,encouraging,accomplishment,exercises
T0069_hi,0,Segment 0,trial,conversion_readiness,accomplishment,hi,You've earned {सिक्के_balance} सिक्के! Complete another अभ्यास.,encouraging,accomplishment,exercises
T0070,0,Segment 0,trial,conversion_readiness,accomplishment,en,Your {streak_current}-day streak is impressive—maintain it today!,encouraging,accomplishment,exercises
T0070_hi,0,Segment 0,trial,conversion_readiness,accomplishment,hi,Your {स्ट्रीक_current}-दिन स्ट्रीक is impressive—maintain it आज!,encouraging,accomplishment,exercises
T0071,0,Segment 0,trial,feature_discovery,unpredictability,en,Discover a new speaking exercise today!,inviting,unpredictability,ai_tutor
T0071_hi,0,Segment 0,trial,feature_discovery,unpredictability,hi,Discover a new बोलना अभ्यास आज!,inviting,unpredictability,ai_tutor
T0072,0,Segment 0,trial,feature_discovery,unpredictability,en,Try the AI tutor—see how it helps!,inviting,unpredictability,ai_tutor
T0072_hi,0,Segment 0,trial,feature_discovery,unpredictability,hi,आज Try the AI tutor—see how it helps!,inviting,unpredictability,ai_tutor
T0073,0,Segment 0,trial,feature_discovery,unpredictability,en,Unlock a surprise reward after your next exercise!,inviting,unpredictability,ai_tutor
T0073_hi,0,Segment 0,trial,feature_discovery,unpredictability,hi,Unlock a surprise reward after आपका next अभ्यास!,inviting,unpredictability,ai_tutor
T0074,0,Segment 0,trial,feature_discovery,unpredictability,en,What's your speaking score today? Find out!,inviting,unpredictability,ai_tutor
T0074_hi,0,Segment 0,trial,feature_discovery,unpredictability,hi,What's आपका बोलना score आज? Find out!,inviting,unpredictability,ai_tutor
T0075,0,Segment 0,trial,feature_discovery,unpredictability,en,Explore new practice scenarios—start now!,inviting,unpredictability,ai_tutor
T0075_hi,0,Segment 0,trial,feature_discovery,unpredictability,hi,Explore new अभ्यास करें scenarios—start now!,inviting,unpredictability,ai_tutor
T0076,0,Segment 0,trial,feature_discovery,accomplishment,en,You've completed {exercises_completed_7d} exercises this week—keep going!,encouraging,accomplishment,ai_tutor
T0076_hi,0,Segment 0,trial,feature_discovery,accomplishment,hi,You've पूरा करेंd {अभ्यासs_पूरा करेंd_7d} अभ्यासs this week—जारी रखें!,encouraging,accomplishment,ai_tutor
T0077,0,Segment 0,trial,feature_discovery,accomplishment,en,Day {streak_current} of your streak! Complete today's exercise.,encouraging,accomplishment,ai_tutor
T0077_hi,0,Segment 0,trial,feature_discovery,accomplishment,hi,Day {स्ट्रीक_current} of आपका स्ट्रीक! Complete आज's अभ्यास.,encouraging,accomplishment,ai_tutor
T0078,0,Segment 0,trial,feature_discovery,accomplishment,en,{exercises_completed_7d} exercises done—you're making progress!,encouraging,accomplishment,ai_tutor
T0078_hi,0,Segment 0,trial,feature_discovery,accomplishment,hi,{अभ्यासs_पूरा करेंd_7d} अभ्यासs done—आप're making progress!,encouraging,accomplishment,ai_tutor
T0079,0,Segment 0,trial,feature_discovery,accomplishment,en,You've earned {coins_balance} coins! Complete another exercise.,encouraging,accomplishment,ai_tutor
T0079_hi,0,Segment 0,trial,feature_discovery,accomplishment,hi,You've earned {सिक्के_balance} सिक्के! Complete another अभ्यास.,encouraging,accomplishment,ai_tutor
T0080,0,Segment 0,trial,feature_discovery,accomplishment,en,Your {streak_current}-day streak is impressive—maintain it today!,encouraging,accomplishment,ai_tutor
T0080_hi,0,Segment 0,trial,feature_discovery,accomplishment,hi,Your {स्ट्रीक_current}-दिन स्ट्रीक is impressive—maintain it आज!,encouraging,accomplishment,ai_tutor
T0081,0,Segment 0,trial,habit_formation,unpredictability,en,Discover a new speaking exercise today!,inviting,unpredictability,streak
T0081_hi,0,Segment 0,trial,habit_formation,unpredictability,hi,Discover a new बोलना अभ्यास आज!,inviting,unpredictability,streak
T0082,0,Segment 0,trial,habit_formation,unpredictability,en,Try the AI tutor—see how it helps!,inviting,unpredictability,streak
T0082_hi,0,Segment 0,trial,habit_formation,unpredictability,hi,आज Try the AI tutor—see how it helps!,inviting,unpredictability,streak
T0083,0,Segment 0,trial,habit_formation,unpredictability,en,Unlock a surprise reward after your next exercise!,inviting,unpredictability,streak
T0083_hi,0,Segment 0,trial,habit_formation,unpredictability,hi,Unlock a surprise reward after आपका next अभ्यास!,inviting,unpredictability,streak
T0084,0,Segment 0,trial,habit_formation,unpredictability,en,What's your speaking score today? Find out!,inviting,unpredictability,streak
T0084_hi,0,Segment 0,trial,habit_formation,unpredictability,hi,What's आपका बोलना score आज? Find out!,inviting,unpredictability,streak
T0085,0,Segment 0,trial,habit_formation,unpredictability,en,Explore new practice scenarios—start now!,inviting,unpredictability,streak
T0085_hi,0,Segment 0,trial,habit_formation,unpredictability,hi,Explore new अभ्यास करें scenarios—start now!,inviting,unpredictability,streak
T0086,0,Segment 0,trial,habit_formation,accomplishment,en,You've completed {exercises_completed_7d} exercises this week—keep going!,encouraging,accomplishment,streak
T0086_hi,0,Segment 0,trial,habit_formation,accomplishment,hi,You've पूरा करेंd {अभ्यासs_पूरा करेंd_7d} अभ्यासs this week—जारी रखें!,encouraging,accomplishment,streak
T0087,0,Segment 0,trial,habit_formation,accomplishment,en,Day {streak_current} of your streak! Complete today's exercise.,encouraging,accomplishment,streak
T0087_hi,0,Segment 0,trial,habit_formation,accomplishment,hi,Day {स्ट्रीक_current} of आपका स्ट्रीक! Complete आज's अभ्यास.,encouraging,accomplishment,streak
T0088,0,Segment 0,trial,habit_formation,accomplishment,en,{exercises_completed_7d} exercises done—you're making progress!,encouraging,accomplishment,streak
T0088_hi,0,Segment 0,trial,habit_formation,accomplishment,hi,{अभ्यासs_पूरा करेंd_7d} अभ्यासs done—आप're making progress!,encouraging,accomplishment,streak
T0089,0,Segment 0,trial,habit_formation,accomplishment,en,You've earned {coins_balance} coins! Complete another exercise.,encouraging,accomplishment,streak
T0089_hi,0,Segment 0,trial,habit_formation,accomplishment,hi,You've earned {सिक्के_balance} सिक्के! Complete another अभ्यास.,encouraging,accomplishment,streak
T0090,0,Segment 0,trial,habit_formation,accomplishment,en,Your {streak_current}-day streak is impressive—maintain it today!,encouraging,accomplishment,streak
T0090_hi,0,Segment 0,trial,habit_formation,accomplishment,hi,Your {स्ट्रीक_current}-दिन स्ट्रीक is impressive—maintain it आज!,encouraging,accomplishment,streak
T0091,1,Segment 1,churned,re_engagement,loss_avoidance,en,Your streak will break in {hours_left} hours—complete one exercise!,urgent,loss_avoidance,exercises
T0091_hi,1,Segment 1,churned,re_engagement,loss_avoidance,hi,Your स्ट्रीक will break in {hours_left} hours—पूरा करें one अभ्यास!,urgent,loss_avoidance,exercises
T0092,1,Segment 1,churned,re_engagement,loss_avoidance,en,Don't lose your {streak_current}-day streak! Practice now.,urgent,loss_avoidance,exercises
T0092_hi,1,Segment 1,churned,re_engagement,loss_avoidance,hi,Don't lose आपका {स्ट्रीक_current}-दिन स्ट्रीक! Practice now.,urgent,loss_avoidance,exercises
T0093,1,Segment 1,churned,re_engagement,loss_avoidance,en,Your progress is at risk—complete today's exercise.,urgent,loss_avoidance,exercises
T0093_hi,1,Segment 1,churned,re_engagement,loss_avoidance,hi,Your progress is at risk—पूरा करें आज's अभ्यास.,urgent,loss_avoidance,exercises
T0094,1,Segment 1,churned,re_engagement,loss_avoidance,en,Only {hours_left} hours to maintain your streak!,urgent,loss_avoidance,exercises
T0094_hi,1,Segment 1,churned,re_engagement,loss_avoidance,hi,Only {hours_left} hours to maintain आपका स्ट्रीक!,urgent,loss_avoidance,exercises
T0095,1,Segment 1,churned,re_engagement,loss_avoidance,en,Don't let your {coins_balance} coins go to waste—practice today!,urgent,loss_avoidance,exercises
T0095_hi,1,Segment 1,churned,re_engagement,loss_avoidance,hi,Don't let आपका {सिक्के_balance} सिक्के go to waste—अभ्यास करें आज!,urgent,loss_avoidance,exercises
T0096,1,Segment 1,churned,re_engagement,unpredictability,en,Discover a new speaking exercise today!,curious,unpredictability,exercises
T0096_hi,1,Segment 1,churned,re_engagement,unpredictability,hi,Discover a new बोलना अभ्यास आज!,curious,unpredictability,exercises
T0097,1,Segment 1,churned,re_engagement,unpredictability,en,Try the AI tutor—see how it helps!,curious,unpredictability,exercises
T0097_hi,1,Segment 1,churned,re_engagement,unpredictability,hi,आज Try the AI tutor—see how it helps!,curious,unpredictability,exercises
T0098,1,Segment 1,churned,re_engagement,unpredictability,en,Unlock a surprise reward after your next exercise!,curious,unpredictability,exercises
T0098_hi,1,Segment 1,churned,re_engagement,unpredictability,hi,Unlock a surprise reward after आपका next अभ्यास!,curious,unpredictability,exercises
T0099,1,Segment 1,churned,re_engagement,unpredictability,en,What's your speaking score today? Find out!,curious,unpredictability,exercises
T0099_hi,1,Segment 1,churned,re_engagement,unpredictability,hi,What's आपका बोलना score आज? Find out!,curious,unpredictability,exercises
T0100,1,Segment 1,churned,re_engagement,unpredictability,en,Explore new practice scenarios—start now!,curious,unpredictability,exercises
T0100_hi,1,Segment 1,churned,re_engagement,unpredictability,hi,Explore new अभ्यास करें scenarios—start now!,curious,unpredictability,exercises
T0101,1,Segment 1,inactive,activation,unpredictability,en,Discover a new speaking exercise today!,curious,unpredictability,exercises
